Value,Description,Client ORO,Singleton Option,Reference
141,OPTION_V6_DOTS_RI,Yes,Yes,[RFC8973]
142,OPTION_V6_DOTS_ADDRESS,Yes,Yes,[RFC8973]
143,OPTION-IPv6_Address-ANDSF,Yes,Yes,[RFC6153]
144,OPTION_V6_DNR,Yes,No,[RFC9463]
145,OPTION_REGISTERED_DOMAIN,Yes,No,"[RFC9527, Section 4.1]"
146,OPTION_FORWARD_DIST_MANAGER,Yes,Yes,"[RFC9527, Section 4.2]"
147,OPTION_REVERSE_DIST_MANAGER,Yes,Yes,"[RFC9527, Section 4.3]"
148,OPTION_ADDR_REG_ENABLE,Yes,Yes,[RFC9686]
149,"OPTION_IA_SRV6_LOCATOR (TEMPORARY - registered 2024-06-14, extension registered 2025-04-16, expires 2026-06-14)",No,No,[draft-ietf-spring-dhc-distribute-srv6-locator-dhcp-02]
150,"OPTION_IALOCATOR (TEMPORARY - registered 2024-06-14, extension registered 2025-04-16, expires 2026-06-14)",No,No,[draft-ietf-spring-dhc-distribute-srv6-locator-dhcp-02]
151-65535,Unassigned,,,
